"Concentration","DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToFedCWP","DistanceToAg","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMachinery","DistanceToMiscellaneous","DistanceToPaper","DistanceToWood","SOCTonsPerHA","MedPFAS","PopDen","STUSPS","Median.Earnings.Inflation.Adj.2020","Bachelor.Degree.Percent.2020","Bachelor.5Year.Change","Bachelor.10Year.Change","Earnings.5Year.Change","Earnings.10Year.Change","Longitude","Latitude"
462000,6.51938326700316,487.52,10.8641139315494,10.1866162809044,12.3504037054027,7.36708472431179,7.73661285672449,6.06867875103741,11.1402144858351,10.9982415224879,7.36708472431179,8.27097098652199,11.9429231400048,6.06867875103741,6.06867875103741,7.31323758927599,10.8603227373235,33,"High",182,"CA",43938,25.9,3.1,-19.6,3210,6995,-119.8400895,34.4322924
180000,10.7070219717372,1115.19,10.5679546979299,10.5265939260198,10.5693733389745,10.3726815942014,9.87484343884316,8.72147661815009,8.52238800136052,10.509815377701,10.2177312470022,10.0630414089236,11.1775112771364,8.87754992547432,8.64107028372644,8.64107028372644,8.9598723163991,33,"High",116,"NY",39838,16.8,1.3,-5.8,0,5224,-73.284437,42.878812
179000,7.73156799048727,329.75,8.43742795286298,9.74457136764579,11.4192400339186,8.9641023093629,7.85746581939597,8.21027631568424,9.10745689986034,9.87733071860304,7.57857860571193,8.81981408725259,9.43886628249265,7.98207849544167,8.20143113193959,8.37242853722653,9.32136363008605,10,"High",230,"CA",74145,37.7,4.8,-14,0,21545,-118.4287596,33.9314346
174100,6.67669052675401,503.6,10.2681673353597,7.820298004333,11.7566029330652,7.96219331183325,7.24609376884247,7.97339243191175,8.49378216210208,9.61951041069828,7.81600092108102,7.99104033658873,10.3638782049679,7.74834980928535,7.85114339590698,7.97954181486996,7.99104033658873,88,"High",199,"CA",30836,8.6,3.1,1.6,0,8278,-122.223083,37.714361
71600,9.2592592797336,568.92,10.1988626657264,9.42909012209785,11.7183662872798,7.5167796679361,6.97779477821276,8.14997844369896,8.85517519602026,9.25999719551425,6.9283424192337,6.2785590475889,10.4447711308566,7.97675929868571,8.44345686469416,7.18425366042044,7.94151649731248,57,"High",199,"CA",49081,29.1,6.5,0.200000000000003,17676,18531,-122.282231,37.802267
65160,6.34987461794843,248.87,6.83259295963945,9.33648553200263,8.99428760287639,9.74919149027814,6.59997477144062,8.83522124691885,9.68938582739038,9.65378551894324,8.68031538316556,8.18994180509488,8.62198804371179,7.42804413716975,8.62198804371179,6.62005938861569,9.30513772132111,19,"High",227,"CA",60599,32.7,-1.3,-15.6,9386,12328,-117.1879907,32.73845634
61650,5.40629198876306,248.87,6.87554237607427,9.34445272328919,8.97185911238193,9.76919069268917,6.87768724416752,8.83309582880911,9.71065640192215,9.67454212201415,8.6544788870175,8.22374841153553,8.59584875520553,7.33991803719036,8.59584875520553,6.85494627343011,9.28710305778826,19,"High",227,"CA",60599,32.7,-1.3,-15.6,9386,12328,-117.1890193,32.73542325
60780,6.26100778811306,248.87,6.88410075163473,9.33328537625677,8.98527775551578,9.75282607338868,6.5861388424312,8.82723783933833,9.69320442696128,9.6582462697641,8.66829151164085,8.20804895938906,8.60933275069736,7.38472978873127,8.60933275069736,6.59128697866586,9.29845461261031,19,"High",227,"CA",60599,32.7,-1.3,-15.6,9386,12328,-117.1876237,32.73785882
52900,6.5929669612534,503.6,10.2652609471763,7.78754629123858,11.7559265299574,7.93529190351806,7.26980823860711,7.94887317704371,8.4742783345501,9.6246549176664,7.83136299777732,7.96102339456781,10.3632578587012,7.75959296082049,7.86093626096763,7.94768862874743,7.96102339456781,88,"High",199,"CA",30836,8.6,3.1,1.6,0,8278,-122.222167,37.714806
43625,5.60053869581123,248.87,6.97646931538099,9.33494932826982,8.96030098228156,9.76970065464755,6.79839102358648,8.81699177594152,9.71109648044383,9.67649781964178,8.63754030644635,8.24954118008913,8.57764788578113,7.27227847868471,8.57764788578113,6.76321293195485,9.27908081803691,19,"High",227,"CA",60599,32.7,-1.3,-15.6,9386,12328,-117.1878644,32.73523561
43043,9.45899789998372,329.47,8.29870099141964,8.49946661794985,11.1934640537261,6.8498598268064,6.8262734753785,6.62481843752673,8.42782550152683,9.40827951516034,7.39634707454308,7.22764819298168,9.15850213740999,6.62481843752673,6.88046991617792,8.09119419158347,8.52896063597069,17,"High",195,"CA",36032,20.4,3.4,-4,3922,974,-118.290149,33.808003
41300,9.26134302613435,568.92,10.1979063842173,9.43067428272099,11.7181845836464,7.53012436847901,6.97891093191744,8.14230713492742,8.85139295051093,9.26021741751772,6.9266744190118,6.3147328538829,10.4439901073647,7.98415273288826,8.43780363069876,7.16421825623243,7.94922799471677,57,"High",199,"CA",49081,29.1,6.5,0.200000000000003,17676,18531,-122.282206,37.802508
37300,9.31364763798146,529.83,8.51791255084482,8.6156453333812,11.4351890540219,9.93220713210538,6.02876941963741,7.46941847460138,9.30713525785929,10.5261422377189,7.14943802254956,7.06346111463798,9.51013256349167,6.53601927051888,7.38892965624443,7.38892965624443,7.70212771908056,46,"High",173,"CA",63915,28.1,0.900000000000002,-12.3,8216,7643,-122.139418,38.0652439
33500,5.49080960176165,298.15,9.89185190263482,8.94084783971126,10.4264536382575,9.02901953905798,6.22775384973443,7.25748678797025,8.0092484322106,8.81204944548366,7.58410560509332,7.25748678797025,9.66882550027842,6.10041403722492,6.70096567081966,6.65933859067676,7.90500042561102,85,"High",199,"CA",32173,12.3,3.4,0.300000000000001,6206,6429,-117.8695919,33.6774275
30043,9.45057850267649,329.47,8.30612426381393,8.47795244806318,11.1922474683159,6.72863154327196,6.92767523688734,6.72915058010534,8.44127589471737,9.3994027452621,7.44873373539621,7.27548954896326,9.15756415659031,6.72915058010534,6.96303132397149,8.059253867224,8.51774190063339,17,"High",195,"CA",36032,20.4,3.4,-4,3922,974,-118.288984,33.808018
29490,6.2340644735528,312.27,9.05507614820826,8.9610338642198,11.0598813560008,8.49985758992914,7.35440628663712,6.93551821315803,8.75336606408342,7.14717825023651,8.81476564635354,7.98860514094379,9.45642132814432,7.0712342337869,7.09423702426597,6.79139488379085,8.58423845831196,11,"High",225,"CA",32139,13.9,2,-4.1,3754,5428,-118.157512,33.8176399
28905,9.78016331400667,508.12,8.88624025246688,9.52008179772069,11.5188528723215,9.87331493278047,6.65492744970877,9.29496881317075,9.82645399552446,10.3257751975193,7.83919547965892,9.12324016873926,8.96944479858761,9.02481115645467,8.29044224599752,9.29389465835815,9.12324016873926,69,"High",186,"CA",59456,26.3,9.2,-7.1,0,2400,-122.2452066,38.046607
28900,9.2845195576333,529.83,8.59193189070797,8.54108062772885,11.4300287195359,9.94512832428487,5.92507797674581,7.24575084414239,9.26920426643986,10.5378405248612,6.60191709474871,6.60809746149677,9.54860195827435,5.80766093186732,7.10099686879965,7.10099686879965,7.49278242353156,46,"High",173,"CA",63915,28.1,0.900000000000002,-12.3,8216,7643,-122.1325557,38.0659764
28043,9.45792180036957,329.47,8.29416596326343,8.4952778085845,11.193106930588,6.83314634181231,6.83105173606345,6.66009688467583,8.43389875992218,9.40695395987487,7.41233082742701,7.2476443267338,9.16078873861499,6.66009688467583,6.90773192981487,8.08883449303727,8.52344127907278,17,"High",195,"CA",36032,20.4,3.4,-4,3922,974,-118.289978,33.807797
27430,9.493610088926,343.56,8.9990351547499,8.65031609447533,11.2644149683001,6.63542080127588,5.68373497607874,5.74438820687159,7.19998126328875,9.71829166525273,4.65109619267213,5.12059837859907,8.91946965498067,5.00349332148943,5.74438820687159,8.15545448715929,8.71365639691343,17,"High",224,"CA",61374,35.7,1.3,-13,7354,10519,-118.333253,33.840665
22503.05,9.40834400141152,381.55,10.7389435000526,8.79937472975941,11.285904227524,7.82068439031465,7.17673163407346,7.61564162335798,9.95003416190725,9.93372355032188,8.13300110961919,6.65381453778943,10.7964165302612,8.48728376384807,8.43497820078975,6.84899211008269,5.53835334249222,192,"High",129,"CA",32482,11.3,2.9,-1.7,6588,5464,-121.3611328,37.9447461
21400,10.1742671726456,850.72,9.78082643044549,9.34715313577198,10.096135629533,9.0781530211579,5.68590543110316,7.91235121927373,9.82324242667285,9.55953965702472,9.07197351209557,9.21110917727236,10.0160001238179,9.05793194757791,7.93844520508638,8.92740488860515,7.71131745569279,58,"High",77,"MN",56672,26.3,3.9,-5.5,11010,10643,-92.913548,44.794259
21160,7.06410041201074,312.27,8.96612875653615,8.91142341870595,11.0714097575446,8.39880953667311,7.31566333930523,7.2215571695038,8.6349120843586,7.50235217052456,8.69884467063056,7.81995147195245,9.47762947156392,7.17526676220591,7.04513058706647,7.07516032358538,8.57197345410189,11,"High",225,"CA",32139,13.9,2,-4.1,3754,5428,-118.163559,33.8219535
19690,9.36061908654364,529.83,8.70025344980854,8.68782868139325,11.4251897679396,9.90286854591997,4.94100743240505,6.72738667252531,9.34001847681898,10.5515845553751,6.75158745490713,5.63401095473777,9.50965657711165,6.32660738726248,6.55524871057355,6.67564916581924,7.19402971720458,46,"High",173,"CA",63915,28.1,0.900000000000002,-12.3,8216,7643,-122.1355282,38.0738015
