"Window","Process","Model","Bias","rMSE","meanSE","CP90","CP95"
"small","Poisson","semi",-0.754777286474308,0.0531242761556733,0.0531645876890359,89.3,95.3
"small","Poisson","para",-4.1994673634063,0.0632855049940192,0.049490705261599,78.7,86.3
"small","Poisson","oracle",0.145809264180349,0.0523155782116282,0.0522435064915273,90.5,94.7
"small","LGCP","semi",-0.599909261070283,0.067312049714032,0.0611440280409459,86.1,91.9
"small","LGCP","para",-4.33803773444038,0.0726115767066461,0.0597035320642428,82.2,89.3
"small","LGCP","oracle",-0.263191415753022,0.0644181761822818,0.0617914433007058,89.2,93.5
"large","Poisson","semi",-0.0218796705838279,0.0265792331665498,0.0275329026296602,91.3,96.2
"large","Poisson","para",-2.56238320879302,0.0350223125520678,0.0257475112818132,75.4,85.8
"large","Poisson","oracle",0.205841294280316,0.0267626627854871,0.0274980694708764,91.2,95.9
"large","LGCP","semi",-0.248476935461164,0.0327551436242203,0.0327000841163652,89.8,94.3
"large","LGCP","para",-3.52191580197367,0.045655466805262,0.0315721416881281,70.5,81.6
"large","LGCP","oracle",-0.636044205217931,0.0331371030506811,0.0326896416417107,88.8,94.6
